species,region
Neo_uvaria_paralellivenia,C
Neo_uvaria_acuminatissima,C
Polyalthia_coffeoides,H
Polyalthia_longifolia,H
Craibella,A
glossopetala,A
gardneri,A
fragrans,A
multiovulata,A
costata,F
beccarii,F
mindorensis,D
oxycarpa,E
coriacea,F
filipes,F
villosa,G
glabrescens,G
mulgraveana,G
acerosa,F
sessilifolia,F
silvestris,F
brachyantha,F
nova,F
megalopus,F
grandifolia,F
subcordata,F
macrocarpa,F
reticulata,ABC
dolichonema,F
aurantiaca,F
clemensiae,F
hylandii,G
froggattii,G
dielsiana,F
mollis,F
philippinensis,CD
lignocarpa,F
unguiculata,D
luzonensis,D
bruneiensis,C
borneensis,C
pamattonis,C
obliqua,C
parvipetala,AC
latifolia,AB
calliura,C
macgregorii,D
taipingensis,A
cymosa,A
galeata,A
macrophylla,A
monticola,A
sessilicarpa,A
setosa,A
rugosa,AB
trimera,A
kingiana,A
cerina,A
